hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,total_stay_nights,adults,children,babies,total_guests,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,112,2015,February,38,19,1,2,3,2,0,0,2,HB,PRT,Direct,Corporate,0,0,0,A,A,0,Non Refund,331,22,0,Transient,108.31,0,0,Canceled,2016-06-15
City Hotel,0,140,2016,May,50,27,0,3,3,2,0,0,2,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,122,0,0,Transient,78.31,0,0,Check-Out,2016-06-15
Resort Hotel,1,28,2016,March,35,17,0,2,2,2,0,0,2,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,165,22,0,Transient,119.13,0,2,Canceled,2016-06-15
City Hotel,0,112,2017,July,41,28,0,7,7,2,0,0,2,BB,NLD,Groups,TA/TO,0,0,0,C,C,0,No Deposit,378,22,0,Transient,110.03,0,0,Check-Out,2016-06-15
City Hotel,0,4,2017,June,8,16,0,6,6,2,0,0,2,BB,PRT,Online TA,TA/TO,0,1,0,D,D,0,No Deposit,383,22,0,Transient-Party,100.79,0,3,Check-Out,2016-06-15
City Hotel,1,181,2016,January,52,19,0,3,3,1,1,0,2,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147,0,0,Transient,122.52,0,3,Canceled,2016-06-15
Resort Hotel,0,18,2017,December,11,5,1,2,3,2,0,0,2,BB,PRT,Direct,TA/TO,0,0,0,A,A,0,No Deposit,70,0,0,Transient,144.37,0,1,Check-Out,2016-06-15
City Hotel,0,119,2016,May,24,22,0,5,5,2,0,0,2,BB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,99,0,0,Transient,123.83,0,1,Check-Out,2016-06-15
City Hotel,1,25,2016,April,43,19,0,4,4,2,0,0,2,HB,NLD,Online TA,Corporate,0,0,0,D,D,0,No Deposit,16,0,0,Transient,106.38,0,0,Canceled,2016-06-15
Resort Hotel,0,7,2017,April,8,4,0,1,1,2,0,0,2,BB,NLD,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,370,0,0,Transient,49.21,0,0,Check-Out,2016-06-15
City Hotel,0,65,2015,March,30,5,0,2,2,2,0,0,2,BB,NLD,Groups,TA/TO,0,0,0,A,A,0,No Deposit,42,22,0,Transient,105.28,0,0,Check-Out,2016-06-15
City Hotel,0,18,2016,December,1,5,2,7,9,2,0,0,2,BB,NLD,Online TA,Direct,0,0,0,A,A,0,No Deposit,163,0,0,Transient,46.8,1,2,Check-Out,2016-06-15
City Hotel,1,130,2017,April,34,25,1,2,3,1,0,0,1,BB,NLD,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,322,0,0,Transient,140.28,1,0,Canceled,2016-06-15
City Hotel,1,27,2016,June,20,24,2,6,8,2,0,0,2,BB,BRA,Online TA,TA/TO,0,0,0,A,E,2,No Deposit,161,22,0,Transient,127.37,0,2,Canceled,2016-06-15
City Hotel,1,41,2015,October,36,1,0,7,7,2,0,0,2,HB,NLD,Online TA,TA/TO,0,0,3,F,F,0,Refundable,304,0,0,Transient,90.14,0,1,Canceled,2016-06-15
City Hotel,1,83,2015,August,34,18,0,2,2,2,0,0,2,BB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,432,22,0,Transient,130.91,0,0,Canceled,2016-06-15
City Hotel,1,33,2016,May,34,28,0,6,6,2,2,0,4,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,286,0,0,Transient-Party,66.15,0,0,Canceled,2016-06-15
City Hotel,1,47,2017,October,13,15,0,1,1,3,0,0,3,BB,DEU,Direct,TA/TO,0,0,0,A,A,0,Non Refund,439,0,0,Transient,64.08,0,0,Canceled,2016-06-15
Resort Hotel,0,169,2016,September,52,21,2,1,3,1,0,0,1,BB,PRT,Online TA,Direct,0,0,0,A,D,0,Refundable,342,0,0,Transient,111.18,0,0,Check-Out,2016-06-15
City Hotel,1,19,2016,April,6,28,1,2,3,2,0,0,2,BB,FRA,Direct,TA/TO,0,0,0,A,A,1,No Deposit,292,0,0,Transient,78.45,0,0,Canceled,2016-06-15
City Hotel,0,8,2016,August,36,19,1,2,3,2,0,0,2,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,77,22,0,Contract,95.51,0,0,Check-Out,2016-06-15
City Hotel,0,39,2016,November,25,23,0,1,1,1,0,0,1,BB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,243,0,0,Transient,156.61,0,2,Check-Out,2016-06-15
City Hotel,0,55,2015,June,27,14,2,2,4,3,0,0,3,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,326,0,0,Transient,149.84,0,0,Check-Out,2016-06-15
City Hotel,0,78,2016,August,47,27,1,1,2,2,0,0,2,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,336,0,0,Transient,87.22,0,0,Check-Out,2016-06-15
City Hotel,1,46,2016,December,31,6,1,2,3,1,0,0,1,BB,FRA,Online TA,Corporate,0,0,0,A,A,0,Non Refund,356,0,0,Transient,78.75,0,0,Canceled,2016-06-15
Resort Hotel,0,156,2015,August,3,18,2,4,6,2,0,0,2,BB,PRT,Offline TA/TO,Direct,0,0,0,A,A,1,No Deposit,416,22,0,Transient,16.4,0,0,Check-Out,2016-06-15
City Hotel,1,4,2015,February,28,8,2,3,5,2,1,0,3,BB,GBR,Direct,TA/TO,0,0,0,A,A,0,No Deposit,486,22,0,Contract,197.84,0,0,Canceled,2016-06-15
Resort Hotel,0,56,2017,April,4,5,0,4,4,1,0,0,1,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,281,22,5,Transient,0.0,0,0,Check-Out,2016-06-15
Resort Hotel,0,48,2017,July,17,22,0,1,1,2,0,0,2,SC,ESP,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,455,0,0,Transient,104.17,0,0,Check-Out,2016-06-15
City Hotel,0,104,2017,April,38,8,0,2,2,2,0,0,2,HB,FRA,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,147,0,0,Transient,68.74,0,1,Check-Out,2016-06-15
City Hotel,1,338,2016,November,34,6,1,1,2,2,0,0,2,BB,GBR,Direct,TA/TO,0,0,0,A,A,0,No Deposit,252,0,0,Transient,130.84,0,0,Canceled,2016-06-15
City Hotel,0,71,2015,June,20,10,0,2,2,2,0,0,2,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,52,0,0,Transient,93.63,1,0,Check-Out,2016-06-15
City Hotel,0,433,2017,June,13,3,2,3,5,2,0,0,2,SC,NLD,Groups,TA/TO,0,0,0,D,A,2,No Deposit,377,0,0,Transient,102.2,0,0,Check-Out,2016-06-15
City Hotel,1,35,2015,August,47,13,1,3,4,2,0,0,2,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,222,0,0,Transient-Party,90.81,0,0,Canceled,2016-06-15
Resort Hotel,1,3,2016,July,5,7,2,1,3,2,0,0,2,SC,GBR,Online TA,Direct,0,0,0,A,A,0,No Deposit,430,22,0,Transient,91.2,0,0,Canceled,2016-06-15
City Hotel,0,18,2017,May,24,4,1,1,2,2,0,0,2,SC,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,365,22,0,Transient,114.52,0,1,Check-Out,2016-06-15
Resort Hotel,0,50,2017,February,51,13,2,2,4,2,0,0,2,BB,ESP,Corporate,Direct,0,0,0,A,A,0,No Deposit,182,22,0,Transient,89.29,0,3,Check-Out,2016-06-15
Resort Hotel,1,38,2017,July,38,6,0,4,4,1,0,0,1,HB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,18,0,0,Transient,114.82,0,0,Canceled,2016-06-15
City Hotel,1,10,2017,October,17,16,2,1,3,2,0,0,2,SC,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,122,22,0,Group,123.78,0,0,Canceled,2016-06-15
City Hotel,0,56,2016,August,31,22,1,3,4,2,2,0,4,BB,PRT,Online TA,Direct,0,0,0,A,A,0,No Deposit,88,0,0,Transient-Party,64.8,0,0,Check-Out,2016-06-15
City Hotel,0,41,2016,May,28,27,1,1,2,1,0,0,1,HB,PRT,Online TA,Corporate,0,1,0,A,A,0,No Deposit,190,0,0,Transient,156.95,0,0,Check-Out,2016-06-15
City Hotel,0,13,2017,February,1,21,0,6,6,2,0,0,2,BB,NLD,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,371,0,0,Transient-Party,96.02,0,3,Check-Out,2016-06-15
City Hotel,0,35,2015,September,2,1,2,2,4,1,0,0,1,HB,FRA,Online TA,TA/TO,0,0,0,D,C,0,No Deposit,323,22,0,Transient,99.9,1,3,Check-Out,2016-06-15
City Hotel,1,217,2017,November,33,24,0,1,1,2,0,0,2,BB,NLD,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,453,22,0,Transient,45.97,0,1,Canceled,2016-06-15
City Hotel,0,35,2016,May,40,13,2,3,5,1,0,0,1,BB,NLD,Online TA,TA/TO,0,0,0,G,E,0,No Deposit,473,0,0,Transient,99.44,0,0,Check-Out,2016-06-15
City Hotel,0,125,2015,August,29,26,1,2,3,1,0,0,1,SC,BRA,Groups,Direct,0,0,0,A,A,1,Refundable,74,0,0,Transient,68.02,0,0,Check-Out,2016-06-15
Resort Hotel,0,94,2017,June,4,2,2,5,7,2,0,0,2,BB,PRT,Offline TA/TO,Corporate,0,0,0,A,A,2,No Deposit,199,0,0,Transient,132.72,0,1,Check-Out,2016-06-15
City Hotel,0,55,2015,July,18,20,2,3,5,2,0,0,2,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,431,22,0,Transient,101.79,0,0,Check-Out,2016-06-15
City Hotel,0,27,2017,October,24,28,1,3,4,1,0,0,1,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,280,0,0,Transient,73.21,0,1,Check-Out,2016-06-15
City Hotel,1,46,2016,February,32,19,1,4,5,2,0,0,2,HB,IRL,Online TA,TA/TO,0,0,0,G,G,3,No Deposit,151,0,0,Transient,106.79,0,1,Canceled,2016-06-15
City Hotel,1,89,2017,July,9,6,0,2,2,1,1,0,2,BB,BRA,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,152,22,0,Transient,122.44,0,0,Canceled,2016-06-15
City Hotel,1,43,2016,April,47,11,0,4,4,2,1,0,3,SC,NLD,Groups,Direct,0,0,0,A,A,0,No Deposit,31,22,0,Transient-Party,20.74,0,1,Canceled,2016-06-15
City Hotel,1,24,2016,May,16,17,1,1,2,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,56,22,0,Transient,103.24,0,0,Canceled,2016-06-15
City Hotel,1,12,2016,August,21,9,0,4,4,2,0,0,2,BB,PRT,Online TA,Direct,0,0,0,A,A,0,No Deposit,146,22,0,Transient,40.01,0,0,Canceled,2016-06-15
City Hotel,0,211,2015,January,30,5,0,3,3,2,0,0,2,SC,NLD,Offline TA/TO,Direct,1,0,0,A,A,0,No Deposit,398,22,0,Transient,111.53,0,0,Check-Out,2016-06-15
City Hotel,1,58,2017,July,3,5,0,3,3,2,0,0,2,BB,ITA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,402,22,0,Transient,134.98,0,1,Canceled,2016-06-15
City Hotel,1,98,2015,April,33,16,0,2,2,1,0,0,1,BB,BRA,Offline TA/TO,TA/TO,0,0,0,A,A,3,Non Refund,329,22,0,Contract,114.44,1,0,Canceled,2016-06-15
Resort Hotel,0,67,2016,August,31,4,1,1,2,2,0,0,2,HB,PRT,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,36,0,0,Transient,103.22,0,2,Check-Out,2016-06-15
Resort Hotel,1,206,2016,March,45,20,0,3,3,1,0,0,1,SC,GBR,Direct,GDS,0,0,0,D,D,0,No Deposit,150,22,0,Transient,134.05,0,0,Canceled,2016-06-15
Resort Hotel,0,79,2016,August,14,13,2,2,4,1,0,0,1,SC,PRT,Offline TA/TO,TA/TO,0,0,0,F,F,0,Non Refund,79,22,0,Transient,92.55,0,0,Check-Out,2016-06-15
City Hotel,1,65,2015,August,6,17,0,1,1,2,0,0,2,BB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,87,22,0,Transient,144.27,0,0,Canceled,2016-06-15
City Hotel,1,258,2015,December,5,9,0,1,1,2,0,0,2,BB,FRA,Online TA,Corporate,0,0,0,A,A,0,Non Refund,225,0,0,Transient,124.46,0,0,Canceled,2016-06-15
Resort Hotel,0,127,2015,November,29,25,0,2,2,1,0,0,1,BB,FRA,Groups,TA/TO,1,0,0,C,C,1,No Deposit,207,22,0,Transient,134.17,0,0,Check-Out,2016-06-15
City Hotel,0,11,2017,April,37,13,0,1,1,2,0,0,2,BB,NLD,Online TA,Corporate,0,0,0,D,D,3,No Deposit,312,0,0,Transient,46.89,1,0,Check-Out,2016-06-15
Resort Hotel,0,19,2015,January,36,16,1,5,6,2,0,0,2,BB,BRA,Corporate,TA/TO,0,0,0,A,A,1,No Deposit,235,22,0,Transient,114.83,0,2,Check-Out,2016-06-15
City Hotel,0,154,2017,August,21,20,0,1,1,2,0,0,2,BB,NLD,Direct,TA/TO,0,0,0,A,A,0,No Deposit,225,22,0,Transient,137.89,0,1,Check-Out,2016-06-15
City Hotel,1,180,2015,July,12,10,1,1,2,1,0,0,1,SC,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,58,22,0,Transient,106.31,0,0,Canceled,2016-06-15
Resort Hotel,0,78,2015,January,46,10,0,2,2,2,0,0,2,HB,DEU,Online TA,TA/TO,0,1,0,D,D,0,No Deposit,408,22,0,Transient,173.15,0,1,Check-Out,2016-06-15
City Hotel,0,80,2016,February,23,20,0,1,1,2,2,0,4,BB,DEU,Groups,TA/TO,0,0,0,A,A,0,Refundable,206,22,0,Transient,114.64,0,0,Check-Out,2016-06-15
Resort Hotel,1,99,2015,July,14,28,1,4,5,4,0,0,4,BB,PRT,Online TA,Corporate,0,1,3,F,D,0,No Deposit,143,0,0,Transient-Party,82.67,0,1,Canceled,2016-06-15
Resort Hotel,0,57,2016,November,43,16,2,2,4,1,0,0,1,BB,NLD,Direct,TA/TO,0,0,0,D,D,0,No Deposit,49,22,0,Transient,100.41,0,2,Check-Out,2016-06-15
Resort Hotel,1,114,2017,October,42,23,0,1,1,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,66,0,0,Transient,169.76,0,0,Canceled,2016-06-15
City Hotel,0,11,2015,March,10,20,0,7,7,3,0,0,3,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,402,0,0,Transient,160.91,0,2,Check-Out,2016-06-15
City Hotel,1,325,2017,May,27,1,1,1,2,2,0,0,2,FB,PRT,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,372,22,0,Transient,67.55,0,1,Canceled,2016-06-15
Resort Hotel,1,138,2016,January,41,11,2,1,3,2,0,0,2,BB,DEU,Direct,Direct,0,0,0,D,D,0,No Deposit,338,22,0,Transient,70.81,0,0,Canceled,2016-06-15
City Hotel,1,99,2015,June,2,13,1,2,3,2,0,0,2,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,150,22,0,Transient,154.76,1,2,Canceled,2016-06-15
City Hotel,1,38,2015,September,14,25,0,2,2,1,0,0,1,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,397,0,0,Transient,99.61,0,0,Canceled,2016-06-15
Resort Hotel,0,17,2017,September,7,18,1,4,5,1,0,0,1,BB,GBR,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,199,22,0,Transient,110.2,0,0,Check-Out,2016-06-15
City Hotel,0,52,2015,June,17,5,4,6,10,2,0,0,2,BB,GBR,Offline TA/TO,Direct,0,0,0,A,A,0,No Deposit,129,22,0,Transient,105.06,0,0,Check-Out,2016-06-15
Resort Hotel,1,108,2017,February,20,4,0,4,4,2,0,0,2,BB,FRA,Offline TA/TO,Direct,0,0,0,A,A,0,No Deposit,130,22,0,Transient-Party,119.38,0,1,Canceled,2016-06-15
Resort Hotel,1,100,2016,May,8,24,1,3,4,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,87,0,0,Transient,123.57,0,2,Canceled,2016-06-15
City Hotel,1,48,2015,November,20,6,0,7,7,3,0,0,3,BB,NLD,Groups,TA/TO,0,0,0,C,C,1,No Deposit,435,22,0,Transient,82.45,0,0,Canceled,2016-06-15
Resort Hotel,0,95,2016,April,36,15,1,4,5,2,1,0,3,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,221,22,0,Transient,128.58,0,2,Check-Out,2016-06-15
City Hotel,1,168,2017,May,5,23,0,1,1,2,0,0,2,SC,PRT,Offline TA/TO,Direct,0,0,0,B,B,0,No Deposit,240,0,0,Group,120.99,0,0,Canceled,2016-06-15
City Hotel,0,2,2017,September,13,2,0,2,2,2,0,0,2,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,485,22,0,Transient,196.92,0,0,Check-Out,2016-06-15
Resort Hotel,0,59,2016,August,39,4,2,2,4,1,0,0,1,BB,BRA,Online TA,Direct,0,0,0,G,G,0,Refundable,226,0,0,Transient-Party,132.77,0,0,Check-Out,2016-06-15
City Hotel,1,142,2017,November,38,14,0,2,2,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,109,22,0,Transient,151.2,0,1,Canceled,2016-06-15
Resort Hotel,0,78,2015,May,17,4,2,1,3,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,28,22,0,Transient,95.31,1,0,Check-Out,2016-06-15
City Hotel,0,105,2017,July,6,28,0,3,3,1,0,0,1,BB,PRT,Online TA,Direct,0,0,0,A,A,0,No Deposit,19,22,0,Transient,145.91,0,0,Check-Out,2016-06-15
City Hotel,0,72,2017,June,19,18,1,2,3,2,2,0,4,BB,PRT,Direct,TA/TO,0,0,3,A,A,1,No Deposit,459,0,0,Transient,154.82,0,0,Check-Out,2016-06-15
City Hotel,0,481,2017,November,25,26,0,3,3,2,0,0,2,BB,GBR,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,250,22,0,Transient,109.8,1,1,Check-Out,2016-06-15
City Hotel,0,5,2017,September,3,20,1,2,3,2,0,0,2,BB,ESP,Corporate,Direct,0,0,0,F,F,0,No Deposit,406,22,0,Transient,132.67,0,0,Check-Out,2016-06-15
Resort Hotel,0,67,2016,October,41,16,2,2,4,2,0,0,2,BB,NLD,Online TA,Direct,0,0,0,F,F,0,No Deposit,303,22,0,Transient,98.28,0,0,Check-Out,2016-06-15
City Hotel,0,9,2016,March,28,9,0,2,2,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,46,22,0,Transient,39.63,0,0,Check-Out,2016-06-15
City Hotel,0,17,2016,September,26,8,2,2,4,2,0,0,2,BB,FRA,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,119,0,0,Transient,130.4,0,3,Check-Out,2016-06-15
City Hotel,0,48,2016,June,47,11,1,3,4,1,0,0,1,Undefined,PRT,Direct,TA/TO,0,0,0,A,A,0,No Deposit,4,0,0,Transient,120.31,0,1,Check-Out,2016-06-15
City Hotel,1,16,2016,January,8,14,1,5,6,2,0,0,2,BB,PRT,Groups,TA/TO,0,0,0,C,C,0,No Deposit,429,0,0,Transient-Party,149.73,0,2,Canceled,2016-06-15
City Hotel,0,331,2016,February,15,17,0,2,2,1,0,0,1,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,488,22,0,Transient,106.63,0,0,Check-Out,2016-06-15
Resort Hotel,0,293,2016,August,1,13,2,3,5,1,0,0,1,BB,DEU,Online TA,Direct,0,0,0,A,A,0,No Deposit,271,22,0,Transient,112.44,0,0,Check-Out,2016-06-15
Resort Hotel,0,40,2016,May,40,8,0,5,5,2,0,0,2,BB,IRL,Online TA,Direct,0,0,0,B,B,3,Non Refund,386,22,0,Transient,107.56,0,0,Check-Out,2016-06-15
City Hotel,0,102,2015,October,23,14,3,1,4,2,0,0,2,SC,DEU,Direct,TA/TO,0,0,0,G,G,0,Non Refund,308,0,0,Transient,17.98,0,0,Check-Out,2016-06-15
City Hotel,0,76,2016,August,36,11,2,1,3,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,221,22,0,Transient,101.98,0,0,Check-Out,2016-06-15
City Hotel,1,169,2017,January,42,9,1,2,3,2,0,0,2,BB,NLD,Groups,TA/TO,0,0,0,A,A,0,No Deposit,405,0,0,Contract,132.57,0,0,Canceled,2016-06-15
City Hotel,1,98,2016,August,16,8,2,2,4,2,0,0,2,BB,ESP,Online TA,Direct,0,0,3,A,A,0,No Deposit,323,0,0,Transient,105.72,0,0,Canceled,2016-06-15
City Hotel,0,0,2017,March,50,14,0,7,7,2,0,0,2,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,68,0,0,Transient-Party,112.54,0,1,Check-Out,2016-06-15
Resort Hotel,0,144,2015,June,4,15,4,3,7,2,0,0,2,BB,NLD,Offline TA/TO,Corporate,0,0,0,F,F,0,No Deposit,69,0,0,Transient,139.44,0,0,Check-Out,2016-06-15
City Hotel,0,137,2016,August,8,26,2,2,4,2,0,0,2,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,0,0,Transient-Party,107.14,0,1,Check-Out,2016-06-15
Resort Hotel,0,71,2015,October,36,1,0,3,3,2,0,0,2,BB,PRT,Offline TA/TO,Corporate,0,0,0,A,A,0,No Deposit,205,0,0,Transient,112.05,0,3,Check-Out,2016-06-15
City Hotel,0,233,2015,June,10,24,1,5,6,2,0,0,2,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,468,22,0,Transient-Party,55.1,0,0,Check-Out,2016-06-15
City Hotel,0,239,2016,September,52,12,2,1,3,2,0,0,2,BB,DEU,Groups,TA/TO,0,0,1,A,A,0,No Deposit,76,22,0,Transient,79.73,0,0,Check-Out,2016-06-15
City Hotel,1,74,2016,September,30,5,1,2,3,2,0,0,2,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,Non Refund,183,0,0,Transient,147.62,0,1,Canceled,2016-06-15
Resort Hotel,0,93,2016,June,36,25,1,2,3,1,0,0,1,BB,NLD,Groups,TA/TO,0,0,0,E,E,0,No Deposit,319,0,0,Transient,124.75,0,0,Check-Out,2016-06-15
City Hotel,0,566,2016,July,16,14,0,4,4,1,0,0,1,HB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,96,0,0,Transient,139.83,0,1,Check-Out,2016-06-15
City Hotel,0,35,2017,August,30,25,0,4,4,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,32,22,0,Transient-Party,156.74,0,0,Check-Out,2016-06-15
City Hotel,0,39,2015,January,44,22,2,6,8,1,0,0,1,BB,PRT,Direct,TA/TO,0,0,0,E,E,0,Non Refund,66,22,0,Transient,108.55,0,1,Check-Out,2016-06-15
Resort Hotel,0,20,2015,October,10,16,0,2,2,2,0,0,2,HB,NLD,Offline TA/TO,Direct,0,0,0,E,E,1,No Deposit,336,0,0,Transient,73.67,0,1,Check-Out,2016-06-15
City Hotel,0,226,2016,September,11,19,3,1,4,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,387,0,0,Transient,83.12,0,0,Check-Out,2016-06-15
City Hotel,1,136,2015,April,34,28,0,5,5,1,0,0,1,BB,PRT,Direct,TA/TO,0,0,0,A,A,0,Non Refund,25,22,0,Transient-Party,89.47,0,0,Canceled,2016-06-15
Resort Hotel,1,11,2017,December,16,16,0,5,5,1,0,0,1,BB,PRT,Online TA,TA/TO,0,1,0,A,F,0,No Deposit,468,0,0,Transient,107.32,0,2,Canceled,2016-06-15
Resort Hotel,0,400,2016,March,19,7,0,1,1,2,0,0,2,BB,NLD,Groups,TA/TO,0,0,0,A,A,1,Non Refund,195,0,0,Transient-Party,73.86,0,0,Check-Out,2016-06-15
Resort Hotel,0,131,2016,November,44,3,2,2,4,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,459,0,0,Contract,72.22,0,1,Check-Out,2016-06-15
City Hotel,0,190,2016,May,4,23,0,2,2,2,0,0,2,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,70,0,0,Transient-Party,159.54,0,0,Check-Out,2016-06-15
City Hotel,0,4,2016,September,49,8,0,2,2,2,0,0,2,BB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,46,22,0,Transient,129.56,0,1,Check-Out,2016-06-15
City Hotel,0,70,2015,June,44,21,2,4,6,2,2,0,4,HB,GBR,Direct,TA/TO,0,0,0,A,A,0,No Deposit,345,0,0,Transient,157.1,0,0,Check-Out,2016-06-15
Resort Hotel,0,119,2017,August,31,21,2,1,3,1,0,0,1,Undefined,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,92,22,0,Transient,71.45,0,0,Check-Out,2016-06-15
City Hotel,1,78,2016,March,48,14,2,3,5,2,0,0,2,BB,IRL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,260,22,0,Transient,129.48,0,1,Canceled,2016-06-15
City Hotel,1,109,2015,April,35,20,2,2,4,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,222,0,5,Transient,164.35,0,2,Canceled,2016-06-15
City Hotel,0,170,2016,February,34,3,2,1,3,2,2,0,4,BB,GBR,Online TA,TA/TO,0,0,1,A,A,0,No Deposit,386,0,0,Transient,95.73,0,1,Check-Out,2016-06-15
City Hotel,1,46,2015,October,26,28,2,2,4,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,175,0,0,Transient,82.73,0,0,Canceled,2016-06-15
Resort Hotel,0,188,2015,April,39,24,1,2,3,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,200,22,0,Transient,123.54,0,0,Check-Out,2016-06-15
City Hotel,0,17,2016,August,6,11,1,5,6,1,2,0,3,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,364,0,0,Transient,125.9,0,1,Check-Out,2016-06-15
City Hotel,0,31,2016,September,33,22,0,3,3,2,0,0,2,SC,FRA,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,191,22,0,Transient,105.06,0,0,Check-Out,2016-06-15
City Hotel,0,4,2016,October,47,14,2,3,5,2,2,0,4,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,302,0,0,Transient,118.48,0,1,Check-Out,2016-06-15
City Hotel,1,45,2015,February,27,22,0,1,1,2,0,0,2,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,379,22,0,Transient,171.35,0,2,Canceled,2016-06-15
City Hotel,0,47,2016,October,12,2,2,1,3,2,0,0,2,BB,PRT,Online TA,TA/TO,1,0,0,D,D,0,No Deposit,370,22,0,Transient,121.39,0,0,Check-Out,2016-06-15
City Hotel,0,163,2015,March,45,4,1,1,2,1,0,0,1,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,445,0,0,Transient,164.36,0,0,Check-Out,2016-06-15
